,city,month,carbon max,median_income_2020
0,Concord,2020-04-01,0.3,95066.0
1,Concord,2020-01-01,0.686957,95066.0
2,Concord,2020-02-01,0.665217,95066.0
3,Concord,2020-03-01,0.443478,95066.0
4,Concord,2020-05-01,0.313043,95066.0
5,Concord,2020-06-01,0.358333,95066.0
6,Concord,2020-07-01,0.420833,95066.0
7,Concord,2020-08-01,1.275,95066.0
8,Concord,2020-09-01,1.4,95066.0
9,Concord,2020-10-01,1.370833,95066.0
10,Concord,2020-11-01,0.65,95066.0
11,Concord,2020-12-01,0.844444,95066.0
12,Napa,2020-03-01,0.445833,88141.0
13,Napa,2020-04-01,0.345833,88141.0
14,Napa,2020-05-01,0.4,88141.0
15,Napa,2020-06-01,0.356522,88141.0
16,Napa,2020-07-01,0.3,88141.0
17,Napa,2020-08-01,0.743478,88141.0
18,Napa,2020-09-01,1.434783,88141.0
19,Napa,2020-10-01,1.879167,88141.0
20,Napa,2020-11-01,0.644444,88141.0
21,Napa,2020-12-01,0.708696,88141.0
22,Napa,2020-01-01,0.570833,88141.0
23,Napa,2020-02-01,0.579167,88141.0
24,Oakland,2020-12-01,1.386957,82183.0
25,Oakland,2020-11-01,1.134783,82183.0
26,Oakland,2020-01-01,1.352632,82183.0
27,Oakland,2020-02-01,0.9,82183.0
28,Oakland,2020-04-01,0.621739,82183.0
29,Oakland,2020-05-01,0.470833,82183.0
30,Oakland,2020-03-01,0.633333,82183.0
31,Oakland,2020-07-01,0.454167,82183.0
32,Oakland,2020-08-01,0.673913,82183.0
33,Oakland,2020-09-01,1.520833,82183.0
34,Oakland,2020-10-01,1.2125,82183.0
35,Oakland,2020-06-01,0.433333,82183.0
36,Pleasanton,2020-08-01,1.269565,164780.0
37,Pleasanton,2020-11-01,0.745833,164780.0
38,Pleasanton,2020-10-01,1.408696,164780.0
39,Pleasanton,2020-09-01,1.408696,164780.0
40,Pleasanton,2020-07-01,0.565217,164780.0
41,Pleasanton,2020-12-01,0.821739,164780.0
42,Pleasanton,2020-05-01,0.479167,164780.0
43,Pleasanton,2020-04-01,0.391304,164780.0
44,Pleasanton,2020-03-01,0.516667,164780.0
45,Pleasanton,2020-02-01,0.675,164780.0
46,Pleasanton,2020-01-01,0.713043,164780.0
47,Pleasanton,2020-06-01,0.521739,164780.0
48,Redwood City,2020-10-01,0.891304,126433.0
49,Redwood City,2020-09-01,1.413043,126433.0
50,Redwood City,2020-08-01,0.654167,126433.0
51,Redwood City,2020-07-01,0.3,126433.0
52,Redwood City,2020-05-01,0.333333,126433.0
53,Redwood City,2020-11-01,0.695652,126433.0
54,Redwood City,2020-04-01,0.395833,126433.0
55,Redwood City,2020-03-01,0.469565,126433.0
56,Redwood City,2020-02-01,0.6875,126433.0
57,Redwood City,2020-06-01,0.275,126433.0
58,Redwood City,2020-12-01,0.795652,126433.0
59,Redwood City,2020-01-01,0.75,126433.0
60,San Francisco,2020-04-01,0.386957,122169.0
61,San Francisco,2020-03-01,0.6375,122169.0
62,San Francisco,2020-01-01,0.545833,122169.0
63,San Francisco,2020-05-01,0.345833,122169.0
64,San Francisco,2020-02-01,0.770833,122169.0
65,San Francisco,2020-06-01,0.270833,122169.0
66,San Francisco,2020-07-01,0.204348,122169.0
67,San Francisco,2020-08-01,0.55,122169.0
68,San Francisco,2020-09-01,1.4125,122169.0
69,San Francisco,2020-10-01,0.804348,122169.0
70,San Francisco,2020-11-01,0.669565,122169.0
71,San Francisco,2020-12-01,0.734783,122169.0
72,San Jose,2020-10-01,1.566667,120311.0
73,San Jose,2020-09-01,1.656522,120311.0
74,San Jose,2020-08-01,1.026087,120311.0
75,San Jose,2020-07-01,1.06,120311.0
76,San Jose,2020-06-01,0.533333,120311.0
77,San Jose,2020-03-01,0.6875,120311.0
78,San Jose,2020-04-01,0.473913,120311.0
79,San Jose,2020-12-01,1.320833,120311.0
80,San Jose,2020-02-01,1.008333,120311.0
81,San Jose,2020-01-01,1.05,120311.0
82,San Jose,2020-05-01,0.591667,120311.0
83,San Jose,2020-11-01,1.25,120311.0
84,San Pablo,2020-01-01,0.791667,62367.0
85,San Pablo,2020-02-01,0.595833,62367.0
86,San Pablo,2020-03-01,0.5,62367.0
87,San Pablo,2020-04-01,0.491667,62367.0
88,San Pablo,2020-05-01,0.491667,62367.0
89,San Pablo,2020-06-01,0.469565,62367.0
90,San Pablo,2020-07-01,0.522727,62367.0
91,San Pablo,2020-08-01,0.826087,62367.0
92,San Pablo,2020-09-01,1.758333,62367.0
93,San Pablo,2020-10-01,0.9625,62367.0
94,San Pablo,2020-11-01,0.783333,62367.0
95,San Pablo,2020-12-01,0.808333,62367.0
96,San Rafael,2020-07-01,0.229167,99479.0
97,San Rafael,2020-03-01,0.3875,99479.0
98,San Rafael,2020-04-01,0.347826,99479.0
99,San Rafael,2020-05-01,0.23913,99479.0
100,San Rafael,2020-06-01,0.283333,99479.0
101,San Rafael,2020-08-01,0.66087,99479.0
102,San Rafael,2020-12-01,0.665217,99479.0
103,San Rafael,2020-10-01,0.929167,99479.0
104,San Rafael,2020-11-01,0.570833,99479.0
105,San Rafael,2020-02-01,0.533333,99479.0
106,San Rafael,2020-09-01,1.433333,99479.0
107,San Rafael,2020-01-01,0.508333,99479.0
108,Sebastopol,2020-01-01,0.565217,85991.0
109,Sebastopol,2020-12-01,0.541667,85991.0
110,Sebastopol,2020-03-01,0.341667,85991.0
111,Sebastopol,2020-04-01,0.333333,85991.0
112,Sebastopol,2020-05-01,0.329167,85991.0
113,Sebastopol,2020-06-01,0.354167,85991.0
114,Sebastopol,2020-07-01,0.313043,85991.0
115,Sebastopol,2020-08-01,0.482609,85991.0
116,Sebastopol,2020-09-01,1.533333,85991.0
117,Sebastopol,2020-10-01,0.773913,85991.0
118,Sebastopol,2020-11-01,0.466667,85991.0
119,Sebastopol,2020-02-01,0.415385,85991.0
120,Vallejo,2020-09-01,1.408333,75750.0
121,Vallejo,2020-08-01,0.725,75750.0
122,Vallejo,2020-07-01,0.2375,75750.0
123,Vallejo,2020-06-01,0.458333,75750.0
124,Vallejo,2020-05-01,0.382609,75750.0
125,Vallejo,2020-02-01,0.866667,75750.0
126,Vallejo,2020-03-01,0.5125,75750.0
127,Vallejo,2020-12-01,1.022727,75750.0
128,Vallejo,2020-01-01,0.865217,75750.0
129,Vallejo,2020-11-01,1.020833,75750.0
130,Vallejo,2020-04-01,0.4,75750.0
131,Vallejo,2020-10-01,1.033333,75750.0
