,city,month,nitrogen max,median_income_2020
0,Concord,2020-04-01,6.043478,95066.0
1,Concord,2020-03-01,10.030435,95066.0
2,Concord,2020-02-01,16.356522,95066.0
3,Concord,2020-05-01,4.434783,95066.0
4,Concord,2020-01-01,14.413043,95066.0
5,Concord,2020-06-01,5.13913,95066.0
6,Concord,2020-09-01,11.134783,95066.0
7,Concord,2020-08-01,6.682609,95066.0
8,Concord,2020-10-01,13.252174,95066.0
9,Concord,2020-11-01,15.447826,95066.0
10,Concord,2020-12-01,20.085714,95066.0
11,Concord,2020-07-01,4.273913,95066.0
12,Livermore,2020-02-01,20.813043,135016.0
13,Livermore,2020-10-01,24.088889,135016.0
14,Livermore,2020-09-01,15.547826,135016.0
15,Livermore,2020-08-01,11.417391,135016.0
16,Livermore,2020-07-01,5.369565,135016.0
17,Livermore,2020-06-01,8.226087,135016.0
18,Livermore,2020-05-01,9.834783,135016.0
19,Livermore,2020-04-01,7.930435,135016.0
20,Livermore,2020-03-01,18.013043,135016.0
21,Livermore,2020-01-01,16.6,135016.0
22,Livermore,2020-12-01,25.565217,135016.0
23,Livermore,2020-11-01,22.76087,135016.0
24,Napa,2020-11-01,13.305,88141.0
25,Napa,2020-09-01,9.469565,88141.0
26,Napa,2020-08-01,6.095652,88141.0
27,Napa,2020-07-01,3.617391,88141.0
28,Napa,2020-06-01,4.369565,88141.0
29,Napa,2020-05-01,6.8,88141.0
30,Napa,2020-04-01,4.443478,88141.0
31,Napa,2020-03-01,9.713043,88141.0
32,Napa,2020-02-01,11.978261,88141.0
33,Napa,2020-01-01,10.208696,88141.0
34,Napa,2020-10-01,14.747826,88141.0
35,Napa,2020-12-01,17.069565,88141.0
36,Oakland,2020-12-01,38.33913,82183.0
37,Oakland,2020-08-01,18.030435,82183.0
38,Oakland,2020-11-01,28.165217,82183.0
39,Oakland,2020-10-01,27.769565,82183.0
40,Oakland,2020-09-01,20.726087,82183.0
41,Oakland,2020-01-01,30.6,82183.0
42,Oakland,2020-07-01,10.843478,82183.0
43,Oakland,2020-05-01,14.647826,82183.0
44,Oakland,2020-04-01,16.165217,82183.0
45,Oakland,2020-03-01,24.291304,82183.0
46,Oakland,2020-02-01,33.213043,82183.0
47,Oakland,2020-06-01,15.130435,82183.0
48,Pleasanton,2020-03-01,19.956522,164780.0
49,Pleasanton,2020-04-01,14.108696,164780.0
50,Pleasanton,2020-05-01,15.621739,164780.0
51,Pleasanton,2020-06-01,15.291304,164780.0
52,Pleasanton,2020-07-01,15.526087,164780.0
53,Pleasanton,2020-09-01,23.347826,164780.0
54,Pleasanton,2020-10-01,33.93913,164780.0
55,Pleasanton,2020-11-01,28.191304,164780.0
56,Pleasanton,2020-12-01,31.291304,164780.0
57,Pleasanton,2020-02-01,25.23913,164780.0
58,Pleasanton,2020-08-01,20.591304,164780.0
59,Pleasanton,2020-01-01,21.33913,164780.0
60,Redwood City,2020-01-01,17.608696,126433.0
61,Redwood City,2020-02-01,23.311111,126433.0
62,Redwood City,2020-03-01,14.859091,126433.0
63,Redwood City,2020-04-01,8.1,126433.0
64,Redwood City,2020-05-01,7.943478,126433.0
65,Redwood City,2020-06-01,7.278261,126433.0
66,Redwood City,2020-07-01,4.782609,126433.0
67,Redwood City,2020-08-01,9.804348,126433.0
68,Redwood City,2020-09-01,12.265217,126433.0
69,Redwood City,2020-10-01,24.273913,126433.0
70,Redwood City,2020-11-01,21.019048,126433.0
71,Redwood City,2020-12-01,25.021739,126433.0
72,San Francisco,2020-02-01,27.473913,122169.0
73,San Francisco,2020-11-01,24.265217,122169.0
74,San Francisco,2020-10-01,24.743478,122169.0
75,San Francisco,2020-09-01,17.565217,122169.0
76,San Francisco,2020-08-01,12.243478,122169.0
77,San Francisco,2020-07-01,2.991304,122169.0
78,San Francisco,2020-06-01,8.63913,122169.0
79,San Francisco,2020-05-01,12.543478,122169.0
80,San Francisco,2020-12-01,32.7,122169.0
81,San Francisco,2020-01-01,23.531818,122169.0
82,San Francisco,2020-04-01,12.534783,122169.0
83,San Francisco,2020-03-01,17.880952,122169.0
84,San Jose,2020-01-01,23.986957,120311.0
85,San Jose,2020-12-01,36.617391,120311.0
86,San Jose,2020-11-01,32.034783,120311.0
87,San Jose,2020-10-01,35.230435,120311.0
88,San Jose,2020-09-01,22.704348,120311.0
89,San Jose,2020-08-01,17.7,120311.0
90,San Jose,2020-07-01,10.195455,120311.0
91,San Jose,2020-06-01,14.23913,120311.0
92,San Jose,2020-05-01,16.826087,120311.0
93,San Jose,2020-04-01,12.852174,120311.0
94,San Jose,2020-02-01,30.818182,120311.0
95,San Jose,2020-03-01,23.547826,120311.0
96,San Pablo,2020-01-01,16.386957,62367.0
97,San Pablo,2020-02-01,15.813043,62367.0
98,San Pablo,2020-03-01,12.43913,62367.0
99,San Pablo,2020-04-01,8.03913,62367.0
100,San Pablo,2020-05-01,8.530435,62367.0
101,San Pablo,2020-06-01,9.3,62367.0
102,San Pablo,2020-07-01,5.554545,62367.0
103,San Pablo,2020-08-01,8.454545,62367.0
104,San Pablo,2020-09-01,15.322727,62367.0
105,San Pablo,2020-10-01,17.756522,62367.0
106,San Pablo,2020-11-01,14.347826,62367.0
107,San Pablo,2020-12-01,19.095,62367.0
108,San Rafael,2020-12-01,25.66087,99479.0
109,San Rafael,2020-11-01,18.986957,99479.0
110,San Rafael,2020-01-01,16.686957,99479.0
111,San Rafael,2020-10-01,24.173913,99479.0
112,San Rafael,2020-09-01,13.043478,99479.0
113,San Rafael,2020-08-01,8.285,99479.0
114,San Rafael,2020-07-01,3.430435,99479.0
115,San Rafael,2020-06-01,7.908696,99479.0
116,San Rafael,2020-05-01,8.821739,99479.0
117,San Rafael,2020-04-01,8.543478,99479.0
118,San Rafael,2020-03-01,14.4,99479.0
119,San Rafael,2020-02-01,19.095652,99479.0
120,San Ramon,2020-03-01,11.034783,171605.0
121,San Ramon,2020-12-01,18.694444,171605.0
122,San Ramon,2020-11-01,18.008696,171605.0
123,San Ramon,2020-10-01,14.56087,171605.0
124,San Ramon,2020-09-01,13.552174,171605.0
125,San Ramon,2020-08-01,9.230435,171605.0
126,San Ramon,2020-07-01,5.0,171605.0
127,San Ramon,2020-01-01,13.391304,171605.0
128,San Ramon,2020-05-01,6.443478,171605.0
129,San Ramon,2020-04-01,5.321739,171605.0
130,San Ramon,2020-02-01,16.473913,171605.0
131,San Ramon,2020-06-01,5.382609,171605.0
132,Sebastopol,2020-07-01,2.378261,85991.0
133,Sebastopol,2020-12-01,13.8,85991.0
134,Sebastopol,2020-02-01,11.46875,85991.0
135,Sebastopol,2020-03-01,6.0,85991.0
136,Sebastopol,2020-04-01,4.377273,85991.0
137,Sebastopol,2020-05-01,3.365217,85991.0
138,Sebastopol,2020-01-01,10.473913,85991.0
139,Sebastopol,2020-08-01,5.113043,85991.0
140,Sebastopol,2020-09-01,7.926087,85991.0
141,Sebastopol,2020-10-01,8.034783,85991.0
142,Sebastopol,2020-11-01,10.417391,85991.0
143,Sebastopol,2020-06-01,2.895652,85991.0
144,Vallejo,2020-01-01,21.425,75750.0
145,Vallejo,2020-04-01,11.569565,75750.0
146,Vallejo,2020-05-01,7.3,75750.0
147,Vallejo,2020-06-01,7.969565,75750.0
148,Vallejo,2020-07-01,5.213043,75750.0
149,Vallejo,2020-08-01,7.586957,75750.0
150,Vallejo,2020-09-01,12.230435,75750.0
151,Vallejo,2020-10-01,23.343478,75750.0
152,Vallejo,2020-11-01,20.13913,75750.0
153,Vallejo,2020-12-01,24.982609,75750.0
154,Vallejo,2020-03-01,14.895652,75750.0
155,Vallejo,2020-02-01,21.891304,75750.0
