city_index,city,pm10_month,pm10_max,median_income_2020
0,Concord,8/1/20,25.00,95066
1,Concord,7/1/20,15.00,95066
2,Concord,6/1/20,7.00,95066
3,Concord,5/1/20,10.00,95066
4,Concord,2/1/20,17.00,95066
5,Concord,3/1/20,20.00,95066
6,Concord,1/1/20,10.00,95066
7,Concord,11/1/20,21.00,95066
8,Concord,12/1/20,33.00,95066
9,Concord,4/1/20,9.00,95066
10,Concord,9/1/20,165.00,95066
11,Concord,10/1/20,43.00,95066
12,Healdsburg,11/1/20,31.13,91511
13,Healdsburg,12/1/20,29.08,91511
14,Healdsburg,7/1/20,19.09,91511
15,Healdsburg,1/1/20,21.17,91511
16,Healdsburg,2/1/20,19.29,91511
17,Healdsburg,3/1/20,20.54,91511
18,Healdsburg,4/1/20,16.63,91511
19,Healdsburg,5/1/20,20.50,91511
20,Healdsburg,6/1/20,26.67,91511
21,Healdsburg,8/1/20,55.54,91511
22,Healdsburg,9/1/20,125.08,91511
23,Healdsburg,10/1/20,125.29,91511
24,Napa,1/1/20,13.00,88141
25,Napa,2/1/20,20.00,88141
26,Napa,3/1/20,17.00,88141
27,Napa,4/1/20,15.00,88141
28,Napa,5/1/20,18.00,88141
29,Napa,6/1/20,16.00,88141
30,Napa,7/1/20,21.00,88141
31,Napa,8/1/20,42.00,88141
32,Napa,9/1/20,122.00,88141
33,Napa,10/1/20,43.00,88141
34,Napa,11/1/20,22.00,88141
35,Napa,12/1/20,35.00,88141
36,San Francisco,1/1/20,20.00,122169
37,San Francisco,12/1/20,31.00,122169
38,San Francisco,10/1/20,29.00,122169
39,San Francisco,9/1/20,102.00,122169
40,San Francisco,8/1/20,58.00,122169
41,San Francisco,7/1/20,23.00,122169
42,San Francisco,11/1/20,13.00,122169
43,San Francisco,5/1/20,25.00,122169
44,San Francisco,4/1/20,22.00,122169
45,San Francisco,3/1/20,30.00,122169
46,San Francisco,2/1/20,29.00,122169
47,San Francisco,6/1/20,19.00,122169
48,San Jose,1/1/20,26.00,120311
49,San Jose,5/1/20,20.00,120311
50,San Jose,6/1/20,24.00,120311
51,San Jose,7/1/20,25.00,120311
52,San Jose,8/1/20,91.00,120311
53,San Jose,9/1/20,134.00,120311
54,San Jose,10/1/20,56.00,120311
55,San Jose,11/1/20,55.00,120311
56,San Jose,12/1/20,58.00,120311
57,San Jose,2/1/20,39.00,120311
58,San Jose,4/1/20,17.00,120311
59,San Jose,3/1/20,34.00,120311
60,San Pablo,4/1/20,24.00,62367
61,San Pablo,12/1/20,39.00,62367
62,San Pablo,3/1/20,23.00,62367
63,San Pablo,11/1/20,23.00,62367
64,San Pablo,10/1/20,29.00,62367
65,San Pablo,9/1/20,112.00,62367
66,San Pablo,8/1/20,42.00,62367
67,San Pablo,7/1/20,28.00,62367
68,San Pablo,6/1/20,27.00,62367
69,San Pablo,5/1/20,22.00,62367
70,San Pablo,2/1/20,26.00,62367
71,San Pablo,1/1/20,20.00,62367
72,San Rafael,3/1/20,18.00,99479
73,San Rafael,11/1/20,19.00,99479
74,San Rafael,10/1/20,34.00,99479
75,San Rafael,9/1/20,115.00,99479
76,San Rafael,8/1/20,29.00,99479
77,San Rafael,7/1/20,21.00,99479
78,San Rafael,6/1/20,15.00,99479
79,San Rafael,4/1/20,16.00,99479
80,San Rafael,12/1/20,39.00,99479
81,San Rafael,2/1/20,19.00,99479
82,San Rafael,5/1/20,16.00,99479
83,San Rafael,1/1/20,15.00,99479
84,Vacaville,7/1/20,,95666
85,Vacaville,11/1/20,30.00,95666
86,Vacaville,10/1/20,67.00,95666
87,Vacaville,9/1/20,170.00,95666
88,Vacaville,8/1/20,326.00,95666
89,Vacaville,6/1/20,,95666
90,Vacaville,12/1/20,43.00,95666
91,Vacaville,4/1/20,,95666
92,Vacaville,3/1/20,,95666
93,Vacaville,2/1/20,,95666
94,Vacaville,1/1/20,,95666
95,Vacaville,5/1/20,,95666